hansard_ward,bestMatch,bestLGD,bestCode,hansard_2006_coverage,note on match
Shaftesbury,Shaftesbury,Belfast,95GG39,46.26,
Shankill,Shankill,Belfast,95GG40,29.89,
Shantallow East,Shantallow East,Derry,95MM24,61.47,
Shantallow West,Shantallow West,Derry,95MM25,61.26,
Sion Mills,Sion Mills,Strabane,95ZZ12,75.6,
South,South,Strabane,95ZZ14,75.82,
Springtown,Springtown,Derry,95MM26,80.08,
St Mary's,St Mary's,Newry and Mourn,95VV27,50.65,
St Patrick's,St Patrick's,Newry and Mourn,95VV28,29.89,
Strangford,Strangford,Down,95NN22,74.8,
The Highlands,The Highlands,Limavady,95RR14,62.26,
The Mount,The Mount,Belfast,95GG44,78.84,
Trillick,Trillick,Omagh,95YY21,95.65,
Twinbrook,Twinbrook,Lisburn,95SS29,36.76,
Upper Glenshane,Upper Glenshane,Limavady,95RR15,62.72,
Upper Malone,Upper Malone,Belfast,95GG45,23.38,
Valley,Valley,Newtownabbey,95WW24,41.29, Almost certainly Valley in Newtownabbey based on 2009
Water Works,Water Works,Belfast,95GG47,23.67,
West,West,Strabane,95ZZ16,75.65,
Whitehouse,Whitehouse,Newtownabbey,95WW25,100,
Woodstock,Woodstock,Belfast,95GG50,59.38,
Woodvale,Woodvale,Belfast,95GG51,27.37,
